preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage
1450000.0;135.0;4;2.0;2;Gutierrez;Rua Cônego Rocha Franco;Gutierrez;0;gutierrez;rua conego rocha franco;-19.9354512;-43.9540924;30441-025
1070000.0;115.0;2;2.0;2;Santo Antônio;Rua Antônio Dias;Santo Antônio;0;santo antonio;rua antonio dias;-19.9445612;-43.9464563;30350-180
280000.0;60.0;3;1.0;1;Estoril;Rua Vereador Nelson Cunha;Estoril;0;estoril;rua vereador nelson cunha;-19.9559297;-43.9679276;30494-225
1335000.0;78.0;3;2.0;2;São Pedro;Rua Viçosa;São Pedro;0;sao pedro;rua vicosa;-19.9454938;-43.9389531;30330-012
530000.0;75.0;3;2.0;2;Castelo;Avenida Miguel Perrela;Castelo;0;castelo;avenida miguel perrela;-19.8793334;-43.9973791;31330-310
529000.0;80.0;3;3.0;2;Sagrada Família;Rua Artur Alvim;Sagrada Família;0;sagrada familia;rua artur alvim;-19.9046059;-43.9151923;31035-060
260000.0;68.0;2;2.0;0;Centro;Avenida Olegário Maciel;Centro;0;centro;avenida olegario maciel;-19.9202732;-43.9445364;30180-110
470000.0;64.0;2;1.0;1;São João Batista;Rua Miguel Augusto da Silva;São João Batista;0;sao joao batista;rua miguel augusto da silva;-19.8250925;-43.9647609;31565-180
575000.0;82.0;3;2.0;2;Paquetá;Rua Nilton Baldo;Paquetá;0;paqueta;rua nilton baldo;-19.8712456;-43.9942466;31340-000
525000.0;58.0;2;2.0;2;Buritis;Rua Maria Heilbuth Surette;Buritis;0;buritis;rua maria heilbuth surette;-19.9736697;-43.9734272;30575-740
490000.0;72.0;3;2.0;2;Concórdia;Rua Itaquera;Concórdia;0;concordia;rua itaquera;-19.9007223;-43.9371913;31140-003
434000.0;91.0;3;2.0;1;Colégio Batista;Rua Pitangui;Colégio Batista;0;colegio batista;rua pitangui;-19.9053865;-43.9340462;31110-050
490000.0;98.0;3;3.0;1;Cidade Nova;Avenida Cristiano Machado;Cidade Nova;0;cidade nova;avenida cristiano machado;-19.8908875;-43.9285665;31170-020
260000.0;53.0;2;1.0;1;Salgado Filho;Rua Machado Nunes;Salgado Filho;0;salgado filho;rua machado nunes;-19.9430634;-43.9817904;30550-000
630000.0;70.0;2;1.0;2;Sion;Rua Patagônia;Sion;0;sion;rua patagonia;-19.9591387;-43.9349669;30320-380
1060000.0;160.0;3;3.0;3;Santo Agostinho;Rua Araguari;Santo Agostinho;0;santo agostinho;rua araguari;-19.9304115;-43.9513723;30170-008
290000.0;69.0;2;1.0;1;Salgado Filho;Rua Machado Nunes;Salgado Filho;0;salgado filho;rua machado nunes;-19.9430634;-43.9817904;30550-000
420000.0;90.0;3;2.0;1;Nova Gameleira;Rua Dom Oscar Romero;Outros;0;nova gameleira;rua dom oscar romero;-19.937491;-43.9877726;30510-090
390000.0;58.0;3;2.0;1;Santa Cruz;Rua José Cleto;Santa Cruz;0;santa cruz;rua jose cleto;-19.8765417;-43.931516;31160-440
1441313.0;100.0;3;2.0;2;Sion;Rua Assunção;Sion;0;sion;rua assuncao;-19.9546848;-43.9362089;30315-250
470000.0;110.0;3;2.0;2;Serrano;Rua Mário Pinheiro de Souza;Serrano;0;serrano;rua mario pinheiro de souza;-19.8782999;-44.0155066;32113-060
990000.0;80.0;3;3.0;2;Liberdade;Rua Custódio de Melo;Liberdade;0;liberdade;rua custodio de melo;-19.8626525;-43.9515537;31270-300
700000.0;90.0;3;3.0;2;Palmares;Rua Professor Tabajara Pedroso;Palmares;0;palmares;rua professor tabajara pedroso;-19.8715741;-43.9341828;31155-290
580000.0;71.0;3;2.0;2;Paquetá;Rua Gustavo Ladeira;Paquetá;0;paqueta;rua gustavo ladeira;-19.8798567;-43.9917617;31330-572
430000.0;95.0;3;3.0;2;Dona Clara;Rua Doutor João Miranda;Dona Clara;0;dona clara;rua doutor joao miranda;-19.8612876;-43.9362088;31810-270
950000.0;79.0;3;2.0;2;Gutierrez;Rua Benjamim Jacob;Gutierrez;0;gutierrez;rua benjamim jacob;-19.940883;-43.9590024;30430-050
598000.0;83.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0;buritis;avenida deputado cristovam chiaradia;-19.92083;-43.93778;30160-033
720000.0;95.0;3;2.0;3;Buritis;Rua Tereza Mota Valadares;Buritis;0;buritis;rua tereza mota valadares;-19.9740666;-43.9720029;30575-180
870000.0;102.0;4;3.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0;buritis;avenida deputado cristovam chiaradia;-19.92083;-43.93778;30160-033
669000.0;75.0;3;2.0;2;Sagrada Família;Rua Conselheiro Lafaiete;Sagrada Família;0;sagrada familia;rua conselheiro lafaiete;-19.8988167;-43.9231518;31035-460
400000.0;66.0;3;2.0;1;Floresta;Rua Jacuí;Floresta;0;floresta;rua jacui;-19.9075074;-43.9322657;31015-380
