Preço;Tamanho;Quartos;Banheiros;Vagas;Bairro;Endereço
R$ 1.450.000;Tamanho do imóvel135 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Gutierrez;Rua Cônego Rocha Franco
Valor sob consulta;Tamanho do imóvel62-67 m²;Quantidade de quartos2;Quantidade de banheiros1;N/D;Funcionários;Rua Gonçalves Dias
R$ 1.070.000;Tamanho do imóvel115 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Antônio Dias
R$ 280.000;Tamanho do imóvel60 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Estoril;Rua Vereador Nelson Cunha
A partir deR$ 1.335.000;Tamanho do imóvel78 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;São Pedro;Rua Viçosa
R$ 299.000;Tamanho do imóvel44-45 m²;Quantidade de quartos2;Quantidade de banheiros2;N/D;Diamante (Barreiro);Rua João Vicente de Moura
R$ 530.000;Tamanho do imóvel75 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Avenida Miguel Perrela
R$ 529.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sagrada Família;Rua Artur Alvim
A partir deR$ 1.433.493;Tamanho do imóvel77-150 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1-2;Carmo;Rua Grão Mogol
R$ 260.000;Tamanho do imóvel68 m²;Quantidade de quartos2;Quantidade de banheiros2;N/D;Centro;Avenida Olegário Maciel
R$ 470.000;Tamanho do imóvel64 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São João Batista (Venda Nova);Rua Miguel Augusto da Silva
R$ 575.000;Tamanho do imóvel82 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Paquetá;Rua Nilton Baldo
R$ 525.000;Tamanho do imóvel58 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua Maria Heilbuth Surette
R$ 490.000;Tamanho do imóvel72 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Concórdia;Rua Itaquera
N/D;Tamanho do imóvel167 m²;Quantidade de quartos4;Quantidade de banheiros6;Quantidade de vagas de garagem4;Buritis;Rua Líbero Leone
Valor sob consulta;Tamanho do imóvel51-55 m²;Quantidade de quartos1;Quantidade de banheiros2;Quantidade de vagas de garagem1;Caiçaras;Rua Psi
N/D;Tamanho do imóvel120 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Colégio Batista;Rua Guaranésia
R$ 434.000;Tamanho do imóvel91 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Colégio Batista;Rua Pitangui
R$ 290.000;Tamanho do imóvel50-70 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem1;Ouro Preto;Rua Desembargador Paulo Mota
R$ 490.000;Tamanho do imóvel98 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Cidade Nova;Avenida Cristiano Machado
R$ 260.000;Tamanho do imóvel53 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Salgado Filho;Rua Machado Nunes
N/D;Tamanho do imóvel72 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Estoril;Rua Paulo Piedade Campos
R$ 640.000;Tamanho do imóvel56-95 m²;Quantidade de quartos2-3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Palmares;Rua Joaquim Ribeiro Costa
R$ 630.000;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Sion;Rua Patagônia
R$ 470.000;Tamanho do imóvel64 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São João Batista (Venda Nova);Rua Miguel Augusto da Silva
R$ 1.060.000;Tamanho do imóvel160 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem3;Santo Agostinho;Rua Araguari
R$ 290.000;Tamanho do imóvel69 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Salgado Filho;Rua Machado Nunes
R$ 420.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Nova Gameleira;Rua Dom Oscar Romero
R$ 390.000;Tamanho do imóvel58 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Cruz;Rua José Cleto
R$ 1.441.313;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sion;Rua Assunção
R$ 470.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serrano;Rua Mário Pinheiro de Souza
Valor sob consulta;Tamanho do imóvel32 m²;Quantidade de quartos1-3;Quantidade de banheiros0-2;Quantidade de vagas de garagem1;São Luiz;Rua Maestro Francisco Flores
R$ 990.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Liberdade;Rua Custódio de Melo
R$ 700.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Palmares;Rua Professor Tabajara Pedroso
N/D;Tamanho do imóvel114 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Fernão Dias;Rua Queluzita
R$ 580.000;Tamanho do imóvel71 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Paquetá;Rua Gustavo Ladeira
R$ 430.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Dona Clara;Rua Doutor João Miranda
N/D;Tamanho do imóvel85 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Indaiá;Rua Boaventura
A partir de R$ 950.000;Tamanho do imóvel79 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Gutierrez;Rua Benjamim Jacob
R$ 598.000;Tamanho do imóvel83 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Avenida Deputado Cristóvam Chiaradia
R$ 720.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Buritis;Rua Tereza Mota Valadares
R$ 870.000;Tamanho do imóvel102 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Buritis;Avenida Deputado Cristóvam Chiaradia
