preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco
1450000.0;135.0;4;2.0;2;Gutierrez;Rua Cônego Rocha Franco
1070000.0;115.0;2;2.0;2;Santo Antônio;Rua Antônio Dias
280000.0;60.0;3;1.0;1;Estoril;Rua Vereador Nelson Cunha
1335000.0;78.0;3;2.0;2;São Pedro;Rua Viçosa
530000.0;75.0;3;2.0;2;Castelo;Avenida Miguel Perrela
529000.0;80.0;3;3.0;2;Sagrada Família;Rua Artur Alvim
260000.0;68.0;2;2.0;0;Centro;Avenida Olegário Maciel
470000.0;64.0;2;1.0;1;São João Batista;Rua Miguel Augusto da Silva
575000.0;82.0;3;2.0;2;Paquetá;Rua Nilton Baldo
525000.0;58.0;2;2.0;2;Buritis;Rua Maria Heilbuth Surette
490000.0;72.0;3;2.0;2;Concórdia;Rua Itaquera
434000.0;91.0;3;2.0;1;Colégio Batista;Rua Pitangui
490000.0;98.0;3;3.0;1;Cidade Nova;Avenida Cristiano Machado
260000.0;53.0;2;1.0;1;Salgado Filho;Rua Machado Nunes
630000.0;70.0;2;1.0;2;Sion;Rua Patagônia
1060000.0;160.0;3;3.0;3;Santo Agostinho;Rua Araguari
290000.0;69.0;2;1.0;1;Salgado Filho;Rua Machado Nunes
420000.0;90.0;3;2.0;1;Nova Gameleira;Rua Dom Oscar Romero
390000.0;58.0;3;2.0;1;Santa Cruz;Rua José Cleto
1441313.0;100.0;3;2.0;2;Sion;Rua Assunção
470000.0;110.0;3;2.0;2;Serrano;Rua Mário Pinheiro de Souza
990000.0;80.0;3;3.0;2;Liberdade;Rua Custódio de Melo
700000.0;90.0;3;3.0;2;Palmares;Rua Professor Tabajara Pedroso
580000.0;71.0;3;2.0;2;Paquetá;Rua Gustavo Ladeira
430000.0;95.0;3;3.0;2;Dona Clara;Rua Doutor João Miranda
950000.0;79.0;3;2.0;2;Gutierrez;Rua Benjamim Jacob
598000.0;83.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia
720000.0;95.0;3;2.0;3;Buritis;Rua Tereza Mota Valadares
870000.0;102.0;4;3.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia
669000.0;75.0;3;2.0;2;Sagrada Família;Rua Conselheiro Lafaiete
400000.0;66.0;3;2.0;1;Floresta;Rua Jacuí
791990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo
540000.0;194.0;3;2.0;1;Carlos Prates;Rua Prados
220000.0;47.0;2;1.0;1;Solimões;Rua Pau-Ferro
677000.0;90.0;3;3.0;2;Palmares;Rua Professor Tabajara Pedroso
420000.0;85.0;3;2.0;2;Planalto;Rua Francisco Augusto Rocha
545000.0;70.0;3;1.0;1;Palmeiras;Rua Senhora do Porto
435000.0;82.0;3;1.0;2;Santa Mônica;Rua Doutor Álvaro Camargos
460000.0;134.0;3;2.0;1;Carlos Prates;Rua Prados
450000.0;85.0;3;2.0;1;Jardim América;Rua Conselheiro Joaquim Caetano
355000.0;90.0;3;2.0;1;Alto Barroca;Rua Santa Cruz
1100000.0;74.0;3;3.0;3;Santo Antônio;Rua Mangabeira
1250000.0;115.0;3;2.0;3;Luxemburgo;Rua Fábio Couri
490000.0;45.0;2;1.0;0;Nova Suíssa;Rua Bogari
460000.0;70.0;2;2.0;1;Colégio Batista;Rua Pouso Alegre
1790000.0;140.0;4;4.0;2;Anchieta;Rua Engenheiro Amaro Lanari
280000.0;63.0;2;2.0;1;Jardim América;Rua Lindolfo de Azevedo
1090000.0;74.0;3;2.0;2;Anchieta;Rua Dom Vital
790000.0;104.0;3;3.0;2;Jaraguá;Rua Bacupã
1284509.0;72.0;2;2.0;2;Sion;Rua Chicago
449000.0;60.0;2;2.0;1;Penha;Rua Cornélia
420000.0;65.0;2;1.0;1;Graça;Rua Jataí
450000.0;120.0;3;2.0;2;Santo André;Rua Gurutuba
429000.0;55.0;2;1.0;1;Colégio Batista;Rua Itabira
580000.0;67.0;2;2.0;2;Dona Clara;Rua Bento Mendes Castanheira
746990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo
770000.0;110.0;3;2.0;2;Castelo;Rua Castelo de Avis
700000.0;70.0;3;2.0;0;Sion;Rua Colômbia
777990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo
1285761.0;71.0;3;3.0;2;Sion;Rua Assunção
446197.0;49.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos
772990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo
850000.0;89.0;2;3.0;3;Buritis;Rua Rubens Caporali Ribeiro
560000.0;97.0;3;2.0;1;Carmo;Rua Passa Tempo
472000.0;49.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos
680000.0;70.0;3;1.0;2;Paquetá;Rua Gustavo Ladeira
490000.0;115.0;3;2.0;1;Jardim América;Rua Lindolfo de Azevedo
627760.0;75.0;3;2.0;2;Sagrada Família;Rua João Carlos
440000.0;90.0;3;3.0;1;Caiçara-Adelaide;Rua Aspásia
390000.0;85.0;3;2.0;1;Planalto;Rua Barão de Jacuí
670000.0;120.0;3;3.0;2;Copacabana;Rua Viena
300000.0;58.0;2;1.0;1;Piratininga;Rua Altinópolis
420000.0;108.0;3;1.0;1;Santa Mônica;Rua Olavo Bilac
450000.0;60.0;2;1.0;1;Planalto;Rua Francisco Augusto Rocha
1100000.0;85.0;2;3.0;2;Lourdes;Rua Curitiba
380000.0;83.0;2;2.0;1;Rio Branco;Rua Dalva de Matos
590000.0;72.0;2;2.0;2;Castelo;Rua Elisa Felippeto Ricaldoni
870000.0;125.0;4;4.0;3;Ouro Preto;Rua Desembargador Paulo Mota
302900.0;48.0;2;1.0;1;São Gabriel;Rua São Brás
714800.0;61.0;2;3.0;2;Grajaú;Rua Pilar
1090000.0;251.0;4;5.0;2;Liberdade;Rua Frei Manoel da Cruz
590000.0;67.0;2;2.0;2;Ipiranga;Rua Doutor Furtado de Menezes
1250000.0;117.0;3;3.0;2;Buritis;Rua Geraldo Lúcio Vasconcelos
615000.0;57.0;2;2.0;2;Nova Suíssa;Rua André Fernandes
450000.0;56.0;2;2.0;1;Penha;Rua Cornélia
240000.0;48.0;2;1.0;1;Candelária;Rua Farmacêutico Raul Machado
530000.0;360.0;3;2.0;1;Pindorama;Rua dos Apiacás
453000.0;68.0;3;2.0;2;Rio Branco;Rua Doutor Niso
670000.0;81.0;2;2.0;2;Itapoã;Rua Dona Queridinha
1550000.0;87.0;3;2.0;3;Gutierrez;Rua Almirante Alexandrino
560000.0;83.0;3;3.0;2;Ouro Preto;Rua Desembargador Paulo Mota
750000.0;160.0;3;2.0;2;Santa Mônica;Rua Olavo Bilac
490000.0;83.0;3;3.0;2;Paquetá;Rua Maria Cândida de Jesus
1397568.0;124.0;3;3.0;4;Santo Antônio;Rua Renato Falci
1750000.0;190.0;4;2.0;2;Lourdes;Rua Antônio Aleixo
410000.0;65.0;3;2.0;1;Santa Mônica;Rua Lauro Araújo Silva
625540.0;96.0;2;2.0;2;Alto Caiçaras;Rua Hélio Lazzarotti
750000.0;105.0;3;2.0;2;Buritis;Avenida Engenheiro Carlos Goulart
499000.0;55.0;2;2.0;2;Buritis;Rua Pascoal Demartini Filho
690415.0;70.0;3;2.0;2;Indaiá;Rua Boaventura
365000.0;58.0;2;2.0;1;Jardim Leblon;Rua Egito
550000.0;140.0;3;3.0;2;São João Batista;Rua José Vieira Brandão
695000.0;95.0;3;2.0;1;Coração de Jesus;Praça Abílio Nunes de Figueiredo
950000.0;100.0;3;2.0;2;Sion;Rua do Uruguai
1095000.0;116.0;4;2.0;2;Buritis;Rua Ernani Agricola
1500000.0;128.0;4;1.0;2;Funcionários;Rua Ceará
1569204.0;77.0;2;2.0;1;Funcionários;Avenida do Contorno
650000.0;78.0;3;3.0;2;Liberdade;Rua Boaventura
419000.0;60.0;2;2.0;1;Castelo;Rua Castelo de Sintra
420000.0;62.0;3;2.0;1;Monsenhor Messias;Rua Ramos de Azevedo
450000.0;69.0;3;1.0;1;Caiçaras;Rua Sargento Robson da Cruz
1053000.0;62.0;2;2.0;2;Centro;Rua Santa Catarina
990000.0;120.0;3;2.0;3;Gutierrez;Rua Oscar Trompowsky
700000.0;64.0;2;3.0;2;Santa Efigênia;Rua Juiz Costa Val
510000.0;56.0;2;1.0;1;Dom Cabral;Avenida Edgar da Mata Machado
850000.0;78.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia
375000.0;117.0;3;3.0;1;São Lucas;Rua Cabrália
1100000.0;130.0;4;1.0;3;Buritis;Rua Ernani Agricola
1295000.0;200.0;4;5.0;4;Liberdade;Rua Doutor Teles
900000.0;150.0;2;2.0;0;Carlos Prates;Avenida Dom Pedro II
494500.0;75.0;3;2.0;2;Salgado Filho;Rua Campina Verde
559900.0;53.0;2;2.0;1;Pampulha;Rua General Aranha
320000.0;60.0;3;1.0;1;Jardim Leblon;Rua Humberto de Campos
1800000.0;160.0;4;3.0;2;Santo Agostinho;Rua Gonçalves Dias
1100000.0;71.0;2;2.0;2;Sion;Rua La Plata
595000.0;80.0;3;2.0;2;Palmares;Rua Jorge Angel Livraga
1300000.0;118.0;4;3.0;3;Buritis;Rua Tereza Mota Valadares
612314.0;66.0;2;3.0;2;São Lucas;Rua Salutares
460000.0;65.0;3;2.0;1;Caiçaras;Rua Elenir de Souza Gouvêa
420000.0;47.0;2;1.0;1;Palmeiras;Rua Senhora do Porto
745000.0;80.0;3;2.0;2;União;Rua Silva Fortes
850000.0;65.0;2;3.0;2;Santo Antônio;Rua Professor Arduino Bolivar
639900.0;105.0;4;3.0;2;Palmares;Rua José Cleto
1780000.0;148.0;4;4.0;3;Jaraguá;Rua Garumã
550000.0;98.0;3;2.0;2;Santo Antônio;Rua Guilherme de Almeida
1750000.0;165.0;4;3.0;3;Lourdes;Rua Antônio Aleixo
560000.0;75.0;3;2.0;1;Sagrada Família;Rua Itajubá
395000.0;76.0;3;1.0;2;Santa Amélia;Rua Gomes Freire
900000.0;105.0;3;3.0;2;Buritis;Avenida Protásio de Oliveira Penna
350000.0;72.0;3;1.0;1;Cachoeirinha;Rua Coqueiro
903088.0;102.0;3;2.0;2;Liberdade;Rua Boaventura
750000.0;90.0;3;1.0;2;Colégio Batista;Rua Varginha
705685.0;63.0;2;2.0;2;São Lucas;Rua Visconde de Taunay
399000.0;54.0;2;1.0;1;Castelo;Rua Castelo de Lisboa
1631000.0;87.0;3;3.0;2;Sion;Rua República Argentina
1914770.0;107.0;3;3.0;2;Savassi;Rua Antônio de Albuquerque
4500000.0;274.0;4;5.0;5;Belvedere;Rua Engenheiro Walter Kurrle
490000.0;79.0;3;2.0;1;Paquetá;Rua Antenor Prata
545660.0;64.0;2;2.0;2;Alto Caiçaras;Rua Hélio Lazzarotti
280000.0;50.0;3;1.0;1;Nova Cachoeirinha;Rua Henrique Diniz
420000.0;65.0;2;2.0;1;Buritis;Rua Tereza Mota Valadares
750000.0;53.0;2;2.0;2;Coração de Jesus;Rua Professor Otto Cirne
630000.0;85.0;3;2.0;2;Santa Mônica;Rua do Carmelo
