preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato
1450000.0;135.0;4;2.0;2;Gutierrez;Rua Cônego Rocha Franco;Gutierrez;0
1070000.0;115.0;2;2.0;2;Santo Antônio;Rua Antônio Dias;Santo Antônio;0
280000.0;60.0;3;1.0;1;Estoril;Rua Vereador Nelson Cunha;Estoril;0
1335000.0;78.0;3;2.0;2;São Pedro;Rua Viçosa;São Pedro;0
530000.0;75.0;3;2.0;2;Castelo;Avenida Miguel Perrela;Castelo;0
529000.0;80.0;3;3.0;2;Sagrada Família;Rua Artur Alvim;Sagrada Família;0
260000.0;68.0;2;2.0;0;Centro;Avenida Olegário Maciel;Centro;0
470000.0;64.0;2;1.0;1;São João Batista;Rua Miguel Augusto da Silva;São João Batista;0
575000.0;82.0;3;2.0;2;Paquetá;Rua Nilton Baldo;Paquetá;0
525000.0;58.0;2;2.0;2;Buritis;Rua Maria Heilbuth Surette;Buritis;0
490000.0;72.0;3;2.0;2;Concórdia;Rua Itaquera;Concórdia;0
434000.0;91.0;3;2.0;1;Colégio Batista;Rua Pitangui;Colégio Batista;0
490000.0;98.0;3;3.0;1;Cidade Nova;Avenida Cristiano Machado;Cidade Nova;0
260000.0;53.0;2;1.0;1;Salgado Filho;Rua Machado Nunes;Salgado Filho;0
630000.0;70.0;2;1.0;2;Sion;Rua Patagônia;Sion;0
1060000.0;160.0;3;3.0;3;Santo Agostinho;Rua Araguari;Santo Agostinho;0
290000.0;69.0;2;1.0;1;Salgado Filho;Rua Machado Nunes;Salgado Filho;0
420000.0;90.0;3;2.0;1;Nova Gameleira;Rua Dom Oscar Romero;Outros;0
390000.0;58.0;3;2.0;1;Santa Cruz;Rua José Cleto;Santa Cruz;0
1441313.0;100.0;3;2.0;2;Sion;Rua Assunção;Sion;0
470000.0;110.0;3;2.0;2;Serrano;Rua Mário Pinheiro de Souza;Serrano;0
990000.0;80.0;3;3.0;2;Liberdade;Rua Custódio de Melo;Liberdade;0
700000.0;90.0;3;3.0;2;Palmares;Rua Professor Tabajara Pedroso;Palmares;0
580000.0;71.0;3;2.0;2;Paquetá;Rua Gustavo Ladeira;Paquetá;0
430000.0;95.0;3;3.0;2;Dona Clara;Rua Doutor João Miranda;Dona Clara;0
950000.0;79.0;3;2.0;2;Gutierrez;Rua Benjamim Jacob;Gutierrez;0
598000.0;83.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0
720000.0;95.0;3;2.0;3;Buritis;Rua Tereza Mota Valadares;Buritis;0
870000.0;102.0;4;3.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0
669000.0;75.0;3;2.0;2;Sagrada Família;Rua Conselheiro Lafaiete;Sagrada Família;0
400000.0;66.0;3;2.0;1;Floresta;Rua Jacuí;Floresta;0
791990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0
540000.0;194.0;3;2.0;1;Carlos Prates;Rua Prados;Carlos Prates;0
220000.0;47.0;2;1.0;1;Solimões;Rua Pau-Ferro;Outros;0
677000.0;90.0;3;3.0;2;Palmares;Rua Professor Tabajara Pedroso;Palmares;0
420000.0;85.0;3;2.0;2;Planalto;Rua Francisco Augusto Rocha;Planalto;0
545000.0;70.0;3;1.0;1;Palmeiras;Rua Senhora do Porto;Palmeiras;0
435000.0;82.0;3;1.0;2;Santa Mônica;Rua Doutor Álvaro Camargos;Santa Mônica;0
460000.0;134.0;3;2.0;1;Carlos Prates;Rua Prados;Carlos Prates;0
450000.0;85.0;3;2.0;1;Jardim América;Rua Conselheiro Joaquim Caetano;Jardim América;0
355000.0;90.0;3;2.0;1;Alto Barroca;Rua Santa Cruz;Alto Barroca;0
1100000.0;74.0;3;3.0;3;Santo Antônio;Rua Mangabeira;Santo Antônio;0
1250000.0;115.0;3;2.0;3;Luxemburgo;Rua Fábio Couri;Luxemburgo;0
490000.0;45.0;2;1.0;0;Nova Suíssa;Rua Bogari;Nova Suíssa;0
460000.0;70.0;2;2.0;1;Colégio Batista;Rua Pouso Alegre;Colégio Batista;0
1790000.0;140.0;4;4.0;2;Anchieta;Rua Engenheiro Amaro Lanari;Anchieta;0
280000.0;63.0;2;2.0;1;Jardim América;Rua Lindolfo de Azevedo;Jardim América;0
1090000.0;74.0;3;2.0;2;Anchieta;Rua Dom Vital;Anchieta;0
790000.0;104.0;3;3.0;2;Jaraguá;Rua Bacupã;Jaraguá;0
1284509.0;72.0;2;2.0;2;Sion;Rua Chicago;Sion;0
449000.0;60.0;2;2.0;1;Penha;Rua Cornélia;Outros;0
420000.0;65.0;2;1.0;1;Graça;Rua Jataí;Graça;0
450000.0;120.0;3;2.0;2;Santo André;Rua Gurutuba;Outros;0
429000.0;55.0;2;1.0;1;Colégio Batista;Rua Itabira;Colégio Batista;0
580000.0;67.0;2;2.0;2;Dona Clara;Rua Bento Mendes Castanheira;Dona Clara;0
746990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0
770000.0;110.0;3;2.0;2;Castelo;Rua Castelo de Avis;Castelo;0
700000.0;70.0;3;2.0;0;Sion;Rua Colômbia;Sion;0
777990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0
1285761.0;71.0;3;3.0;2;Sion;Rua Assunção;Sion;0
446197.0;49.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos;Estoril;0
772990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0
850000.0;89.0;2;3.0;3;Buritis;Rua Rubens Caporali Ribeiro;Buritis;0
560000.0;97.0;3;2.0;1;Carmo;Rua Passa Tempo;Carmo;0
472000.0;49.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos;Estoril;0
680000.0;70.0;3;1.0;2;Paquetá;Rua Gustavo Ladeira;Paquetá;0
490000.0;115.0;3;2.0;1;Jardim América;Rua Lindolfo de Azevedo;Jardim América;0
627760.0;75.0;3;2.0;2;Sagrada Família;Rua João Carlos;Sagrada Família;0
440000.0;90.0;3;3.0;1;Caiçara-Adelaide;Rua Aspásia;Caiçara-Adelaide;0
390000.0;85.0;3;2.0;1;Planalto;Rua Barão de Jacuí;Planalto;0
670000.0;120.0;3;3.0;2;Copacabana;Rua Viena;Copacabana;0
300000.0;58.0;2;1.0;1;Piratininga;Rua Altinópolis;Piratininga;0
420000.0;108.0;3;1.0;1;Santa Mônica;Rua Olavo Bilac;Santa Mônica;0
450000.0;60.0;2;1.0;1;Planalto;Rua Francisco Augusto Rocha;Planalto;0
1100000.0;85.0;2;3.0;2;Lourdes;Rua Curitiba;Lourdes;0
380000.0;83.0;2;2.0;1;Rio Branco;Rua Dalva de Matos;Rio Branco;0
590000.0;72.0;2;2.0;2;Castelo;Rua Elisa Felippeto Ricaldoni;Castelo;0
870000.0;125.0;4;4.0;3;Ouro Preto;Rua Desembargador Paulo Mota;Ouro Preto;0
302900.0;48.0;2;1.0;1;São Gabriel;Rua São Brás;São Gabriel;0
714800.0;61.0;2;3.0;2;Grajaú;Rua Pilar;Grajaú;0
1090000.0;251.0;4;5.0;2;Liberdade;Rua Frei Manoel da Cruz;Liberdade;0
590000.0;67.0;2;2.0;2;Ipiranga;Rua Doutor Furtado de Menezes;Ipiranga;0
1250000.0;117.0;3;3.0;2;Buritis;Rua Geraldo Lúcio Vasconcelos;Buritis;0
615000.0;57.0;2;2.0;2;Nova Suíssa;Rua André Fernandes;Nova Suíssa;0
450000.0;56.0;2;2.0;1;Penha;Rua Cornélia;Outros;0
240000.0;48.0;2;1.0;1;Candelária;Rua Farmacêutico Raul Machado;Candelária;0
530000.0;360.0;3;2.0;1;Pindorama;Rua dos Apiacás;Outros;0
453000.0;68.0;3;2.0;2;Rio Branco;Rua Doutor Niso;Rio Branco;0
670000.0;81.0;2;2.0;2;Itapoã;Rua Dona Queridinha;Itapoã;0
